entity1,entity2,trigger_word,relation_type,sentences
tuberculosis,clostridioidesdifficile difficile,relate,0,"risks include percutaneous exposure to blood borne pathogens via sharp injuries eg , human immunodeficiency virus , hepatitis b virus , hepatitis c virus exposure by direct contact , droplet , or airborne transmission of pathogens through direct patient care eg , pertussis , invasive meningococcus infections , tuberculosis and through indirect contact transmission related to the contaminated health care environment eg , clostridioides difficile . "
klebsiellapneumoniae pneumoniae,seriousinfections infections,cause,Cause-Effect,"klebsiella pneumoniae is a bacterium capable of colonizing mucous membranes , causing serious infections . "
"tuberculousencephalitis encephalitis, ,parasitic parasiticdiseases diseases",staphylococcusaureus aureus,cause,Cause-Effect,"tuberculous encephalitis , parasitic diseases ascaris and filariasis , and skin infection caused by staphylococcus aureus accounted for 0 . "
"filariasis, ,and andskin skininfection infection",staphylococcusaureus aureus,cause,Cause-Effect,"tuberculous encephalitis , parasitic diseases ascaris and filariasis , and skin infection caused by staphylococcus aureus accounted for 0 . "
skinand andsoft softstructure structureinfections infectionssstis sstis,staphylococcusaureus aureus,cause,Cause-Effect,"introduction skin and soft structure infections sstis caused by methicillin resistant staphylococcus aureus mrsa pose serious health risks and cause significant cost burdens , and a conclusive recommendation about antibiotics has not yet been generated . "
clostridium,healthcare,lead,Cause-Effect,"clostridium difficile infection cdi is a leading cause of healthcare associated infections , accounting for significant disease burden and mortality . "
clostridium,healthcare,cause,Cause-Effect,"clostridium difficile infection cdi is a leading cause of healthcare associated infections , accounting for significant disease burden and mortality . "
invasivebacterial bacterialdiseases diseases,neisseriameningitidis meningitidis,prevent,Cause-Effect,"invasive bacterial diseases ibds are an important public health concern within this region , although vaccines are available to prevent the three most common causative organisms associated with ibd neisseria meningitidis nm , streptococcus pneumoniae sp , and haemophilus influenzae hi . "
invasivebacterial bacterialdiseases diseases,streptococcuspneumoniae pneumoniae,prevent,Cause-Effect,"invasive bacterial diseases ibds are an important public health concern within this region , although vaccines are available to prevent the three most common causative organisms associated with ibd neisseria meningitidis nm , streptococcus pneumoniae sp , and haemophilus influenzae hi . "
invasivebacterial bacterialdiseases diseases,haemophilusinfluenzae influenzae,prevent,Cause-Effect,"invasive bacterial diseases ibds are an important public health concern within this region , although vaccines are available to prevent the three most common causative organisms associated with ibd neisseria meningitidis nm , streptococcus pneumoniae sp , and haemophilus influenzae hi . "
clostridioidesclostridium clostridium,diarrhea,lead,Cause-Effect,"introduction clostridioides clostridium difficile infection , the leading cause of healthcare associated diarrhea , represents a significant burden on global healthcare systems . "
clostridioidesclostridium clostridium,diarrhea,cause,Cause-Effect,"introduction clostridioides clostridium difficile infection , the leading cause of healthcare associated diarrhea , represents a significant burden on global healthcare systems . "
clostridioidesdifficile difficile,nosocomialinfectious infectiousdiarrhea diarrhea,lead,Cause-Effect,clostridioides difficile infection cdi is the leading cause of nosocomial infectious diarrhea . 
clostridioidesdifficile difficile,nosocomialinfectious infectiousdiarrhea diarrhea,cause,Cause-Effect,clostridioides difficile infection cdi is the leading cause of nosocomial infectious diarrhea . 
staphylococcusaureus aureus,respiratoryinfections infections,cause,Cause-Effect,"staphylococcus aureus , an opportunistic pathogen , usually causes respiratory infections such as sinusitis , skin infections , and food poisoning . "
staphylococcusaureus aureus,skininfections infections,cause,Cause-Effect,"staphylococcus aureus , an opportunistic pathogen , usually causes respiratory infections such as sinusitis , skin infections , and food poisoning . "
lactobacillus,paocai,become,Entity-Origin,"high salt levels can contribute to the growth of lactobacillus , which became the dominant genus in paocai . "
citrobacter,colitis,induce,Cause-Effect,johnsonii against citrobacter rodentium induced colitis . 
cholera,vibrio,cause,Cause-Effect,cholera is a severe small intestine bacterial disease caused by consumption of water and food contaminated with vibrio cholera . 
intestinebacterial bacterialdisease disease,vibrio,cause,Cause-Effect,cholera is a severe small intestine bacterial disease caused by consumption of water and food contaminated with vibrio cholera . 
bananas,ralstonia,cause,Cause-Effect,blood disease in bananas caused by ralstonia syzygii subsp . 
probiotic,faecalibacteriumprausnitzii prausnitzii,induce,Cause-Effect,"furthermore , the pattern of probiotics induced snvs was highly probiotic strain specific , and 17 common snvs in faecalibacterium prausnitzii genome were identified cross studies , which might lead to changes in bacterial protein structure . "
akkermansiamuciniphila muciniphila,depression,decrease,Cause-Effect,"in addition , the abundance of akkermansia muciniphila was significantly decreased in mice under crs and uc patients with depression , and positively associated with the expression of muc2 . "
foodbornedisease disease,salmonella,cause,Cause-Effect,foodborne disease caused by antibiotic resistant salmonella is quite difficult to deal with . 
chronicarthritis arthritis,mycobacterium,induce,Cause-Effect,the resulting tissue hydrolyzate of the chicken embryo ceth has been evaluated for acute toxicity and tested against chronic arthritis induced by freund's full adjuvant modified mycobacterium butyricum in rats . 
suanyu,lactobacillus,result,Cause-Effect,"results showed that lactobacillus , tetragenococcus , and weissella were the dominant bacteria in suanyu , and their contributions were 53 . "
suanyu,lactobacillus,show,Cause-Effect,"results showed that lactobacillus , tetragenococcus , and weissella were the dominant bacteria in suanyu , and their contributions were 53 . "
suanyu,tetragenococcus,result,Cause-Effect,"results showed that lactobacillus , tetragenococcus , and weissella were the dominant bacteria in suanyu , and their contributions were 53 . "
suanyu,tetragenococcus,show,Cause-Effect,"results showed that lactobacillus , tetragenococcus , and weissella were the dominant bacteria in suanyu , and their contributions were 53 . "
suanyu,weissella,result,Cause-Effect,"results showed that lactobacillus , tetragenococcus , and weissella were the dominant bacteria in suanyu , and their contributions were 53 . "
suanyu,weissella,show,Cause-Effect,"results showed that lactobacillus , tetragenococcus , and weissella were the dominant bacteria in suanyu , and their contributions were 53 . "
lactobacillusplantarum plantarum,salttolerance tolerance,produce,Product-Producer,"the most suitable strain lactobacillus plantarum b7 rapidly produced acid , exhibited a strong antibacterial activity , showed salt tolerance , and had no amino acid decarboxylase activity . "
lactobacillusplantarum plantarum,salttolerance tolerance,show,Cause-Effect,"the most suitable strain lactobacillus plantarum b7 rapidly produced acid , exhibited a strong antibacterial activity , showed salt tolerance , and had no amino acid decarboxylase activity . "
faecalibacteriumprausnitzii prausnitzii,allergicasthma asthma,induce,Cause-Effect,"here , we explored the effects of faecalibacterium prausnitzii on the development of allergic airway inflammation in a murine model of house dust mite hdm induced allergic asthma . "
erwinia,blightdisease disease,cause,Cause-Effect,erwinia amylovora causes fire blight disease in pear trees . 
parabacteroidesgoldsteinii goldsteinii,tumor,correlate,Cause-Effect,"sinensis promoted the growth of parabacteroides goldsteinii and bifidobacterium pseudolongum pv8 2 , which were positively correlated with the anti tumor activity and the production of scfas . "
bifidobacteriumpseudolongum pseudolongum,tumor,correlate,Cause-Effect,"sinensis promoted the growth of parabacteroides goldsteinii and bifidobacterium pseudolongum pv8 2 , which were positively correlated with the anti tumor activity and the production of scfas . "
dickeyazeae zeae,softrot rotdiseases diseases,cause,Cause-Effect,"dickeya zeae is a globally important bacterial pathogen that has been reported to cause severe soft rot diseases in several essential food crops , including bananas , rice , maize , and potatoes . "
obese,coprococcus,produce,Product-Producer,orange bagasses stimulated the growth of the butyrate producing genus coprococcus . 
diarrhea,escherichiacoli coli,cause,Cause-Effect,"post weaning diarrhea and enterotoxaemia caused by escherichia coli , are serious threats that are responsible for the economic losses related to mortality , morbidity and stunted growth in weaning piglets . "
enterotoxaemia,escherichiacoli coli,cause,Cause-Effect,"post weaning diarrhea and enterotoxaemia caused by escherichia coli , are serious threats that are responsible for the economic losses related to mortality , morbidity and stunted growth in weaning piglets . "
wolbachia,embryoniclethality lethality,result,Cause-Effect,"wolbachia infection can regulate host reproduction with the most common phenotype in insects being cytoplasmic incompatibility ci , which results in embryonic lethality when uninfected eggs fertilized with sperms from infected males . "
bacillusthuringiensis thuringiensis,food,provide,Cause-Effect,transgenic bacillus thuringiensis bt rice can provide economic and environmental benefits under the current increasing demand for food and socioeconomic pressures for sustainability . 
erstress stress,lactobacillus,enhance,Cause-Effect,rodentium induced colitis by regulating atf6 chop mediated er stress and enhancing the abundance of lactobacillus . 
bacillussubtilis subtilis,nutritioncomponent component,promote,Cause-Effect,"we expressed the protein in bacillus subtilis and found that the purified sdg5a enabled highly specific production of maltopentaose , an important health promoting food and nutrition component . "
staphylococcusaureus aureus,skinand andsoft softtissue tissueinfections infections,cause,Cause-Effect,"one of these pathogens is methicillin resistant staphylococcus aureus mrsa , a major cause of skin and soft tissue infections . "
liverinjury injury,bacteroides,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
liverinjury injury,coprococcus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
liverinjury injury,coprococcus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
liverinjury injury,anaerotruncus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
liverinjury injury,anaerotruncus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
insulin,bacteroides,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
insulin,coprococcus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
insulin,coprococcus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
insulin,anaerotruncus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
insulin,anaerotruncus,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
bacteroides,tumor,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
bacteroides,tumor,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
coprococcus,tumor,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
anaerotruncus,tumor,decrease,Cause-Effect,"results this research study revealed that pu alleviated hfd induced glucose and lipid disorders , liver injury and insulin resistance decreased the firmicutes bacteroides ratio , decreased the abundance of coprococcus and anaerotruncus , and increased rikenellaceae and decreased serum and liver tumor necrosis factor alpha and interleukin 1 levels , inhibited liver ikk and nf b phosphorylation and increased liver autophagy related proteins lc3 ii , p62 , and beclin1 , and increased the number of liver autophagosomes . "
salmonellaenterica enterica,diarrhea,result,Cause-Effect,"background infection with salmonella enterica usually results in diarrhea , fever , and abdominal cramps , but some people become asymptomatic or chronic carrier as a source of infection for others . "
salmonellaenterica enterica,fever,result,Cause-Effect,"background infection with salmonella enterica usually results in diarrhea , fever , and abdominal cramps , but some people become asymptomatic or chronic carrier as a source of infection for others . "
streptococcus,tumor,induce,Cause-Effect,"acidophilus la14 included prevention of not only the d galactosamine induced upregulation of infection and tumor related pathways but also the d galactosamine induced downregulation of antioxidation related pathways during this process , as reflected by the liver transcriptome and proteome analyses . "
staphylococcusaureus aureus,numerousdiseases diseases,lead,Cause-Effect,staphylococcus aureus is a worldwide leading cause of numerous diseases ranging from food poisoning to lethal infections . 
staphylococcusaureus aureus,numerousdiseases diseases,cause,Cause-Effect,staphylococcus aureus is a worldwide leading cause of numerous diseases ranging from food poisoning to lethal infections . 
lactobacillus,bacteriophage,cause,Cause-Effect,"in the genus lactobacillus , they may cause bacteriophage contamination during fermentation and even regulate bacterial populations in the gut . "
biofilms,staphylococcusaureus aureus,show,Cause-Effect,"here we present a fundamental characterization study to show differences between biofilms formed by gram positive methicillin resistant staphylococcus aureus mrsa , gram negative pseudomonas aeruginosa , and the yeast type candida albicans using synchrotron macro attenuated total reflectance fourier transform infrared atr ftir microspectroscopy . "
biofilms,staphylococcusaureus aureus,form,Entity-Origin,"here we present a fundamental characterization study to show differences between biofilms formed by gram positive methicillin resistant staphylococcus aureus mrsa , gram negative pseudomonas aeruginosa , and the yeast type candida albicans using synchrotron macro attenuated total reflectance fourier transform infrared atr ftir microspectroscopy . "
biofilms,pseudomonasaeruginosa aeruginosa,show,Cause-Effect,"here we present a fundamental characterization study to show differences between biofilms formed by gram positive methicillin resistant staphylococcus aureus mrsa , gram negative pseudomonas aeruginosa , and the yeast type candida albicans using synchrotron macro attenuated total reflectance fourier transform infrared atr ftir microspectroscopy . "
biofilms,pseudomonasaeruginosa aeruginosa,form,Entity-Origin,"here we present a fundamental characterization study to show differences between biofilms formed by gram positive methicillin resistant staphylococcus aureus mrsa , gram negative pseudomonas aeruginosa , and the yeast type candida albicans using synchrotron macro attenuated total reflectance fourier transform infrared atr ftir microspectroscopy . "
lactobacillus,metabolicdisorders disorders,derive,Cause-Effect,"in this study , three lactobacillus strains derived from the human gut were investigated for their effects on alleviation of metabolic disorders . "
lactobacillus,metabolicsyndrome syndrome,induce,Cause-Effect,"thus , lactobacillus strains partly protect against diet induced metabolic syndrome by microbiota modulation and acetate elevation . "
mycoplasmahyorhinis hyorhinis,tumor,cause,Cause-Effect,"mycoplasma hyorhinis infects pigs causing polyserositis and polyarthritis , and has also been reported in a variety of human tumor tissues . "
metabolicsyndrome syndrome,bifidobacterium,promote,Cause-Effect,"results showed that prs could regulate hfd induced metabolic syndrome in a dose dependent manner promote the proliferation of intestinal cells and expression of tight junction proteins , such as occludin and zonula occludens zo 1 reduce the firmicutes bacteroidetes f b rate regulate the relative abundance of intestinal microbiota , such as bifidobacterium , ruminococcus , bacteroides and coprococcus and promote the production of microbial metabolites , such as propionic acid and acetic acid . "
metabolicsyndrome syndrome,ruminococcus,promote,Cause-Effect,"results showed that prs could regulate hfd induced metabolic syndrome in a dose dependent manner promote the proliferation of intestinal cells and expression of tight junction proteins , such as occludin and zonula occludens zo 1 reduce the firmicutes bacteroidetes f b rate regulate the relative abundance of intestinal microbiota , such as bifidobacterium , ruminococcus , bacteroides and coprococcus and promote the production of microbial metabolites , such as propionic acid and acetic acid . "
metabolicsyndrome syndrome,bacteroides,promote,Cause-Effect,"results showed that prs could regulate hfd induced metabolic syndrome in a dose dependent manner promote the proliferation of intestinal cells and expression of tight junction proteins , such as occludin and zonula occludens zo 1 reduce the firmicutes bacteroidetes f b rate regulate the relative abundance of intestinal microbiota , such as bifidobacterium , ruminococcus , bacteroides and coprococcus and promote the production of microbial metabolites , such as propionic acid and acetic acid . "
metabolicsyndrome syndrome,coprococcus,promote,Cause-Effect,"results showed that prs could regulate hfd induced metabolic syndrome in a dose dependent manner promote the proliferation of intestinal cells and expression of tight junction proteins , such as occludin and zonula occludens zo 1 reduce the firmicutes bacteroidetes f b rate regulate the relative abundance of intestinal microbiota , such as bifidobacterium , ruminococcus , bacteroides and coprococcus and promote the production of microbial metabolites , such as propionic acid and acetic acid . "
bifidobacterium,obesity,contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
ruminococcus,obesity,contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
bacteroides,obesity,contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
coprococcus,obesity,contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
bifidobacterium,"prs, ,metabolic metabolicsyndrome syndrome",contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
ruminococcus,"prs, ,metabolic metabolicsyndrome syndrome",contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
bacteroides,"prs, ,metabolic metabolicsyndrome syndrome",contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
coprococcus,"prs, ,metabolic metabolicsyndrome syndrome",contribute,Cause-Effect,"it could be concluded that propionic acid and acetic acid were the two dominant metabolites of bifidobacterium , ruminococcus , bacteroides , and coprococcus , which contributed to the anti obesity potential of prs , metabolic syndrome alleviation , and intestinal barrier dysfunction . "
sanitarycondition conditionof ofsurfaces surfaces,campylobacter,contribute,Cause-Effect,"consequently , sanitary condition of surfaces and biofilm formation ability of isolates were the critical points contributing to spread of campylobacter in kitchen environment . "
inflammation,lactobacillus,result,Cause-Effect,"collectively , the above results suggest that the hypoglycemic effect of fm was at least partially mediated by the increased relative abundance of lactobacillus , activation of the pi3k akt signaling pathway , and inhibition of the nf b signaling pathway . "
bifidobacteriumlongum longum,metabolismdisorder disorder,alleviate,Cause-Effect,"the results demonstrate that bifidobacterium longum 15m1 can reverse menopausal obesity , whilst the combination of lactobacillus plantarum 30m5 and a sif diet was more effective in alleviating menopausal lipid metabolism disorder than either components alone . "
lactobacillusplantarum plantarum,metabolismdisorder disorder,alleviate,Cause-Effect,"the results demonstrate that bifidobacterium longum 15m1 can reverse menopausal obesity , whilst the combination of lactobacillus plantarum 30m5 and a sif diet was more effective in alleviating menopausal lipid metabolism disorder than either components alone . "
lactobacillus,glucosedisorders disorders,show,Cause-Effect,"rhamnosus fjsyc4 1 showed the strongest ability to relieve blood glucose disorders , blood lipid disorders , tissue damage , and particularly gut microbiota disorders . "
lactobacillus,lipiddisorders disorders,show,Cause-Effect,"rhamnosus fjsyc4 1 showed the strongest ability to relieve blood glucose disorders , blood lipid disorders , tissue damage , and particularly gut microbiota disorders . "
lactobacillus,microbiotadisorders disorders,show,Cause-Effect,"rhamnosus fjsyc4 1 showed the strongest ability to relieve blood glucose disorders , blood lipid disorders , tissue damage , and particularly gut microbiota disorders . "
autistic,helicobacter,result,Cause-Effect,"the correlation analysis results revealed that the correlation between behaviors and some microbiota , especially helicobacter , did not vary with age or diet . "
autistic,helicobacter,reveal,0,"the correlation analysis results revealed that the correlation between behaviors and some microbiota , especially helicobacter , did not vary with age or diet . "
bifidobacterium,obese,change,Cause-Effect,"the synbiotic beverage changed the microbiota from obese individuals , approaching the lean profiles . "
plentifuland andnutritious nutritioussupply supplyof offood food,acinetobacter,derive,Cause-Effect,"human health is dependent on a plentiful and nutritious supply of food , primarily derived from crop plants . "
clostridiumperfringens perfringens,diarrhea,cause,Cause-Effect,"clostridium perfringens enterotoxin cpe regularly causes food poisoning and antibiotic associated diarrhea therefore , reliable toxin detection is crucial . "
leptospirosis,leptospira,cause,Cause-Effect,leptospirosis is an underestimated tropical disease caused by the pathogenic leptospira species and responsible for several serious health problems . 
underestimatedtropical tropicaldisease disease,leptospira,cause,Cause-Effect,leptospirosis is an underestimated tropical disease caused by the pathogenic leptospira species and responsible for several serious health problems . 
obesity,lactobacillusjohnsonii johnsonii,improve,Cause-Effect,"1 , whereas it improved the content of the beneficial flora , lactobacilli , lactobacillus johnsonii reach 11 . "
salmonella,salmonellosis,cause,Cause-Effect,enterica serovar paratyphi a from serovar typhi and to detect other salmonella serovars which cause salmonellosis in humans . 
qfever fever,coxiellaburnetii burnetii,cause,Cause-Effect,"q fever is a zoonotic disease caused by infection with coxiella burnetii transmitted from animals including , but not limited to , cattle , sheep and goats . "
zoonoticdisease disease,coxiellaburnetii burnetii,cause,Cause-Effect,"q fever is a zoonotic disease caused by infection with coxiella burnetii transmitted from animals including , but not limited to , cattle , sheep and goats . "
lactobacillusplantarum plantarum,ips,produce,Product-Producer,"ten strains of three lactic acid bacteria species lactobacillus plantarum , leuconostoc mesenteroides and pediococcus ethanolidurans were selected as single starter cultures to produce ips . "
leuconostocmesenteroides mesenteroides,ips,produce,Product-Producer,"ten strains of three lactic acid bacteria species lactobacillus plantarum , leuconostoc mesenteroides and pediococcus ethanolidurans were selected as single starter cultures to produce ips . "
pediococcusethanolidurans ethanolidurans,ips,produce,Product-Producer,"ten strains of three lactic acid bacteria species lactobacillus plantarum , leuconostoc mesenteroides and pediococcus ethanolidurans were selected as single starter cultures to produce ips . "
lactobacillusplantarum plantarum,claacetoacetate acetoacetatedecarboxylase decarboxylasecla cla,require,Entity-Origin,"in lactobacillus plantarum , the generation of cla from linoleic acids las requires the combination of cla oleate hydratase cla hy , cla short chain dehydrogenase cla dh , and cla acetoacetate decarboxylase cla dc , which are separately encoded by cla hy , cla dh , and cla dc . "
constipation,bifidobacteriumanimalis animalis,aim,Entity-Destination,the aim of this study was to detect and determine the effect of bifidobacterium animalis subsp . 
akkermansia,inflammation,show,Cause-Effect,"moreover , akkermansia , lachnospiraceae nk4a136 group and bacteroidetes showed a positive correlation with intestinal immune factors and antimicrobial peptides , and a negative correlation with parameters of oxidative stress and inflammation . "
lactobacillus,clp,become,Entity-Origin,became dominant earlier in ilp than in clp . 
salmonellaenterica enterica,foodborne bornediseases diseases,lead,Cause-Effect,background salmonella enterica remains a leading cause of food borne diseases worldwide . 
salmonellaenterica enterica,foodborne bornediseases diseases,cause,Cause-Effect,background salmonella enterica remains a leading cause of food borne diseases worldwide . 
legionella,nomophobia,result,Cause-Effect,intracellular growth of pathogenic legionella in free living amoebae fla results in the critical concentrations that are problematic in engineered water systems ews . 
"coldstorage storage, ,",legionella,cause,Cause-Effect,"citrus fruit are sensitive to chilling injury ci during cold storage , a peel disorder that causes economic losses . "
peeldisorder disorder,legionella,cause,Cause-Effect,"citrus fruit are sensitive to chilling injury ci during cold storage , a peel disorder that causes economic losses . "
escherichiacoli coli,oba,alleviate,Cause-Effect,"in this study , we demonstrated that using the acetate bypass to replace the pyruvate dehydrogenase complex pdhc in escherichia coli could recharge the intracellular acetyl coa pool to alleviate the metabolic toxicity of 2 oba . "
phascolarctobacterium,kidneystones stones,show,Cause-Effect,phascolarctobacterium and faecalibacterium showed a positive relationship with scfa synthesis to reduce the risk of kidney stones . 
faecalibacterium,kidneystones stones,show,Cause-Effect,phascolarctobacterium and faecalibacterium showed a positive relationship with scfa synthesis to reduce the risk of kidney stones . 
lactobacillus,stone,prevent,Cause-Effect,lactobacillus is a potential gut bacterium associated with preventing kidney stone formation . 
lactobacillus,obesity,contribute,Cause-Effect,"the results indicated that mixture coarse cereals could promote the release of scfas , enhance the diversity of gut microbiota , and increase the relative abundance of lactobacillus and bifidobacterium , which might contribute to the anti obesity activity . "
bifidobacterium,obesity,contribute,Cause-Effect,"the results indicated that mixture coarse cereals could promote the release of scfas , enhance the diversity of gut microbiota , and increase the relative abundance of lactobacillus and bifidobacterium , which might contribute to the anti obesity activity . "
salmonella,foodbornediseases diseases,cause,Cause-Effect,salmonella is considered as one of the most important foodborne zoonotic pathogens that can cause several foodborne diseases and is commonly associated with consumption of meats . 
sakacin,lactobacillussakei sakei,produce,Product-Producer,"bc was then reduced to nanocrystals bcncs , 70 conversion yield , which were then conjugated with sakacin a , an anti listeria bacteriocin produced by lactobacillus sakei in a cwp based broth . "
succinivibrio,carbohydratemetabolism metabolism,relate,0,the relative abundance of gene families related to carbohydrate metabolism was particularly higher p . 
salmonella,inflammation,cause,Cause-Effect,salmonella enteritidis is a major cause of foodborne gastroenteritis and is thus a persistent threat to global public health . 
